Institution,Citations,Impact,Valence
"University of California, Berkeley",8135,6.911639762107052,4.6
Duke University,14336,6.87248322147651,4.2
University of Pennsylvania,16606,6.839373970345964,4.4
"University of California, Los Angeles",22700,6.835290575127973,4.8
University of Iowa,7574,6.798922800718133,4.2
Boston University,11463,6.782840236686391,4.1
Emory University,9853,6.711852861035422,4.2
Yale University,22953,6.71140350877193,4.2
"University of Wisconsin, Madison",9275,6.682276657060519,4.5
University of Pittsburgh,17605,6.278530670470756,4.4
University of Michigan at Ann Arbor,16839,6.222838137472284,4.3
"University of Washington, Seattle",12623,6.1847133757961785,4.5
University of Oregon,4625,6.166666666666667,4
University of North Carolina at Chapel Hill,13682,6.160288158487168,4.7
"University of Minnesota, Twin Cities",14957,6.089983713355049,4.5
State University of New York at Stony Brook,4787,6.051833122629583,4.6
University of Southern California,7399,6.035073409461664,4.1
Northwestern University,10926,5.954223433242507,4.1
"University of Maryland, College Park",7511,5.733587786259542,4
Michigan State University,7476,5.672230652503794,3.8
University of Georgia,5265,5.577330508474576,3.8
Indiana University at Bloomington,6403,5.519827586206897,4.3
